key,id,class,counter,order,limit,cruc,wforce,alloc,branch,scaling
building_government_administration,1,1,FALSE,2,4,10,FALSE,4,FALSE,FALSE
building_university,2,1,FALSE,9,3,8,FALSE,FALSE,TRUE,FALSE
building_construction_sector,3,2,FALSE,1,5,dc,FALSE,FALSE,TRUE,FALSE
building_railway,4,2,FALSE,3,5,99,FALSE,7,FALSE,FALSE
building_port,5,2,FALSE,3,3,99,FALSE,5,FALSE,FALSE
building_barracks,6,3,FALSE,9,8,8,FALSE,2,FALSE,FALSE
building_naval_base,7,3,FALSE,9,5,8,FALSE,2,FALSE,FALSE
building_nuclear_weapons_facility,8,3,FALSE,9,9,dc,FALSE,FALSE,FALSE,FALSE
building_chemical_weapons_facility,9,3,FALSE,9,9,dc,FALSE,FALSE,FALSE,FALSE
building_biological_weapons_facility,10,3,FALSE,9,9,dc,FALSE,FALSE,FALSE,FALSE
building_spaceport,11,6,FALSE,8,9,dc,TRUE,FALSE,FALSE,FALSE
building_mission_control,12,1,FALSE,9,9,dc,TRUE,FALSE,FALSE,FALSE
building_airport,13,2,FALSE,9,7,dc,FALSE,FALSE,FALSE,FALSE
building_logging_camp,14,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_fishing_wharf,15,4,FALSE,13,5,dc,TRUE,FALSE,TRUE,TRUE
building_rubber_plantation,16,4,FALSE,6,5,11,TRUE,FALSE,TRUE,TRUE
building_oil_rig,17,4,FALSE,4,5,11,FALSE,FALSE,TRUE,TRUE
building_natural_gas_well,18,4,FALSE,4,5,dc,FALSE,FALSE,TRUE,TRUE
building_coal_mine,19,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_iron_mine,20,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_copper_mine,21,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_rare_earth_elements_mine,22,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_lead_mine,23,4,FALSE,6,5,dc,TRUE,FALSE,TRUE,TRUE
building_bauxite_mine,24,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_uranium_mine,25,4,FALSE,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_phosphorus_mine,26,4,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_gold_mine,27,4,FALSE,11,5,5,TRUE,FALSE,TRUE,TRUE
building_rye_farm,28,5,FALSE,10,5,dc,TRUE,FALSE,TRUE,TRUE
building_wheat_farm,29,5,28,10,5,dc,TRUE,FALSE,TRUE,TRUE
building_rice_farm,30,5,28,10,5,dc,TRUE,FALSE,TRUE,TRUE
building_maize_farm,31,5,28,10,5,dc,TRUE,FALSE,TRUE,TRUE
building_millet_farm,32,5,28,10,5,dc,TRUE,FALSE,TRUE,TRUE
building_livestock_ranch,33,5,FALSE,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_cotton_plantation,34,5,33,5,5,dc,TRUE,FALSE,TRUE,TRUE
building_dye_plantation,35,5,FALSE,11,5,dc,TRUE,FALSE,TRUE,TRUE
building_silk_plantation,36,5,FALSE,11,5,dc,TRUE,FALSE,TRUE,TRUE
building_banana_plantation,37,5,FALSE,13,5,dc,TRUE,FALSE,TRUE,TRUE
building_sugar_plantation,38,5,FALSE,13,5,dc,TRUE,FALSE,TRUE,TRUE
building_tea_plantation,39,5,FALSE,15,5,dc,TRUE,FALSE,TRUE,TRUE
building_coffee_plantation,40,5,FALSE,15,5,dc,TRUE,FALSE,TRUE,TRUE
building_tobacco_plantation,41,5,FALSE,14,5,dc,TRUE,FALSE,TRUE,TRUE
building_opium_plantation,42,5,FALSE,11,5,dc,TRUE,FALSE,TRUE,TRUE
building_food_industry,43,6,FALSE,14,5,dc,TRUE,FALSE,TRUE,TRUE
building_textile_mills,44,6,FALSE,12,5,dc,TRUE,FALSE,TRUE,TRUE
building_furniture_manufacturies,45,6,FALSE,12,5,dc,TRUE,FALSE,TRUE,TRUE
building_glassworks,46,6,FALSE,7,5,dc,TRUE,FALSE,TRUE,TRUE
building_tool_manufactories,47,6,FALSE,4,5,dc,TRUE,FALSE,TRUE,TRUE
building_paper_manufactories,48,6,FALSE,6,5,dc,TRUE,FALSE,TRUE,TRUE
